scenario,state,year,load_TWh,load_normalized
rcp85cooler_ssp3,ID,2070,37.1727323546575,1.353
rcp85cooler_ssp3,ID,2075,36.6910479318695,1.336
rcp85cooler_ssp3,ID,2080,37.2620572481528,1.357
rcp85cooler_ssp3,ID,2085,36.628848599535,1.334
rcp85cooler_ssp3,ID,2090,36.0905118344272,1.314
rcp85cooler_ssp3,ID,2095,35.686978618377,1.299
rcp85cooler_ssp3,ID,2100,35.7830473965095,1.303
rcp85cooler_ssp3,IL,1975,33.343420102778,0.222
rcp85cooler_ssp3,IL,1990,123.650154293612,0.822
rcp85cooler_ssp3,IL,2005,160.170365763057,1.065
rcp85cooler_ssp3,IL,2010,158.683446529723,1.055
rcp85cooler_ssp3,IL,2015,149.973445673335,0.997
rcp85cooler_ssp3,IL,2020,150.450702658482,1.0
rcp85cooler_ssp3,IL,2025,147.986657173343,0.984
rcp85cooler_ssp3,IL,2030,148.259817611957,0.985
rcp85cooler_ssp3,IL,2035,153.452039490225,1.02
rcp85cooler_ssp3,IL,2040,155.220511732293,1.032
rcp85cooler_ssp3,IL,2045,161.408490946765,1.073
rcp85cooler_ssp3,IL,2050,167.577076744487,1.114
rcp85cooler_ssp3,IL,2055,171.333997194519,1.139
rcp85cooler_ssp3,IL,2060,191.403443442024,1.272
rcp85cooler_ssp3,IL,2065,201.118613972152,1.337
rcp85cooler_ssp3,IL,2070,205.067300203937,1.363
rcp85cooler_ssp3,IL,2075,214.471342769826,1.426
rcp85cooler_ssp3,IL,2080,213.219820354517,1.417
rcp85cooler_ssp3,IL,2085,214.477701417617,1.426
rcp85cooler_ssp3,IL,2090,213.97298567558,1.422
rcp85cooler_ssp3,IL,2095,206.446424285834,1.372
rcp85cooler_ssp3,IL,2100,206.907220453796,1.375
rcp85cooler_ssp3,IN,1975,28.940862777778,0.272
rcp85cooler_ssp3,IN,1990,81.8074435278062,0.77
rcp85cooler_ssp3,IN,2005,116.475137468807,1.096
rcp85cooler_ssp3,IN,2010,115.344956374056,1.086
rcp85cooler_ssp3,IN,2015,111.437394209195,1.049
rcp85cooler_ssp3,IN,2020,106.257003398279,1.0
rcp85cooler_ssp3,IN,2025,106.443029536697,1.002
rcp85cooler_ssp3,IN,2030,107.986500796498,1.016
rcp85cooler_ssp3,IN,2035,111.767983289824,1.052
rcp85cooler_ssp3,IN,2040,112.593155760241,1.06
rcp85cooler_ssp3,IN,2045,115.079005227927,1.083
rcp85cooler_ssp3,IN,2050,116.846804060353,1.1
rcp85cooler_ssp3,IN,2055,115.132701301621,1.084
rcp85cooler_ssp3,IN,2060,124.440060054325,1.171
rcp85cooler_ssp3,IN,2065,129.580026986907,1.219
rcp85cooler_ssp3,IN,2070,129.493760402951,1.219
rcp85cooler_ssp3,IN,2075,132.507642584681,1.247
rcp85cooler_ssp3,IN,2080,132.255116283257,1.245
rcp85cooler_ssp3,IN,2085,132.964956475238,1.251
rcp85cooler_ssp3,IN,2090,134.098024438334,1.262
rcp85cooler_ssp3,IN,2095,130.638245253863,1.229
rcp85cooler_ssp3,IN,2100,132.406140112473,1.246
rcp85cooler_ssp3,KS,1975,6.76332788888894,0.152
rcp85cooler_ssp3,KS,1990,30.1701928256114,0.677
rcp85cooler_ssp3,KS,2005,43.2763925527503,0.972
rcp85cooler_ssp3,KS,2010,44.4681628613337,0.998
